ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11094370,JA440032,09/21/2017 12:15:00 AM,072XX N CALIFORNIA AVE,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,CURRENCY EXCHANGE,TRUE,FALSE,2411,24,50,2,10,1156443,1947707,2017,03/01/2018 15:52,42.0122934,-87.69971411,"(42.012293397, -87.699714109)"
11118031,JA470589,10/12/2017 19:14,055XX W GRAND AVE,1345,CRIMINAL DAMAGE,TO CITY OF CHICAGO PROPERTY,JAIL / LOCK-UP FACILITY,TRUE,FALSE,2515,25,29,19,14,1138788,1913480,2017,03/01/2018 15:52,41.91871165,-87.76551063,"(41.918711651, -87.76551063)"
11134189,JA491697,10/30/2017 11:52:00 AM,043XX S TALMAN AVE,4651,OTHER OFFENSE,SEX OFFENDER: FAIL REG NEW ADD,APARTMENT,TRUE,FALSE,922,9,12,58,26,1159425,1875711,2017,03/01/2018 15:52,41.81466978,-87.6907267,"(41.814669784, -87.690726696)"
11156462,JA521389,09/29/2017 06:45:00 PM,055XX W BELMONT AVE,1110,DECEPTIVE PRACTICE,BOGUS CHECK,CURRENCY EXCHANGE,TRUE,FALSE,2514,25,30,19,11,1138653,1920720,2017,03/01/2018 15:52,41.93858144,-87.76583058,"(41.938581442, -87.765830579)"
11164874,JA531910,12/01/2017 6:20,022XX W CHICAGO AVE,265,CRIM SEXUAL ASSAULT,AGGRAVATED: OTHER,STREET,TRUE,FALSE,1221,12,32,24,2,1161264,1905292,2017,03/01/2018 15:52,41.8958051,-87.68315936,"(41.895805099, -87.683159355)"
10974196,JA298243,06/08/2017 16:02,001XX E 59TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,ALLEY,TRUE,FALSE,232,2,20,40,15,1178308,1865932,2017,02/11/2018 15:54,41.78742694,-87.62175873,"(41.78742694, -87.621758727)"
10995008,JA322389,06/25/2017 07:00:00 PM,003XX W 103RD ST,031A,ROBBERY,ARMED: HANDGUN,SMALL RETAIL STORE,TRUE,FALSE,511,5,9,49,3,1175895,1836626,2017,02/11/2018 15:54,41.70706214,-87.63148256,"(41.707062135, -87.631482564)"
11086755,JA430240,09/06/2017 13:30,032XX W 26TH ST,810,THEFT,OVER $500,OTHER,TRUE,FALSE,1024,10,12,30,6,1155313,1886555,2017,02/11/2018 15:54,41.84451047,-87.70551945,"(41.844510467, -87.705519454)"
11157652,JA522842,11/23/2017 03:14:00 PM,003XX E 47TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,DEPARTMENT STORE,FALSE,FALSE,215,2,3,38,04A,1178967,1873924,2017,02/11/2018 15:54,41.80934273,-87.619099,"(41.809342727, -87.619098999)"
11162428,JA529032,11/28/2017 09:43:00 PM,026XX S CALIFORNIA BLVD,5131,OTHER OFFENSE,VIOLENT OFFENDER: ANNUAL REGISTRATION,JAIL / LOCK-UP FACILITY,TRUE,FALSE,1034,10,12,30,26,1158280,1886310,2017,02/11/2018 15:54,41.84377813,-87.69463768,"(41.843778126, -87.694637678)"
11175304,JA545986,12/11/2017 19:15,007XX N SACRAMENTO BLVD,031A,ROBBERY,ARMED: HANDGUN,SIDEWALK,TRUE,FALSE,1221,12,27,23,3,1156092,1904769,2017,02/11/2018 15:54,41.89447592,-87.70216916,"(41.894475919, -87.702169158)"
11175934,JA546734,12/12/2017 18:00,007XX N OAKLEY BLVD,031A,ROBBERY,ARMED: HANDGUN,STREET,TRUE,FALSE,1221,12,32,24,3,1160934,1905033,2017,02/11/2018 15:54,41.89510124,-87.68437857,"(41.895101237, -87.684378568)"
11230118,JB151212,11/22/2017 09:08:00 PM,003XX W 79TH ST,1122,DECEPTIVE PRACTICE,COUNTERFEIT CHECK,CURRENCY EXCHANGE,TRUE,FALSE,623,6,17,44,10,,,2017,03/01/2018 15:52,,,
11172603,JA541446,12/08/2017 3:00,033XX S KEDZIE AVE,1020,ARSON,BY FIRE,"SCHOOL, PRIVATE, BUILDING",FALSE,FALSE,1032,10,22,30,9,1155572,1882206,2017,03/01/2018 15:54,41.83257109,-87.70468577,"(41.832571089, -87.704685773)"
11223717,JB141803,02/04/2018 15:25,044XX W WASHINGTON BLVD,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,1113,11,28,26,11,,,2018,02/11/2018 15:57,,,
11227287,JB147188,10/08/2017 3:00,092XX S RACINE AVE,281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,FALSE,FALSE,2222,22,21,73,2,,,2017,02/11/2018 15:57,,,
11227293,JB147230,09/09/2017 20:17,060XX S EBERHART AVE,810,THEFT,OVER $500,RESIDENCE,FALSE,FALSE,313,3,20,42,6,,,2017,02/11/2018 15:57,,,
11227475,JB147314,11/22/2017 02:42:00 AM,056XX N CHRISTIANA AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,FALSE,TRUE,1711,17,39,13,26,,,2017,02/11/2018 15:57,,,
11227505,JB146342,06/01/2017 0:01,115XX S ABERDEEN ST,1751,OFFENSE INVOLVING CHILDREN,CRIM SEX ABUSE BY FAM MEMBER,RESIDENCE,FALSE,FALSE,524,5,34,53,20,,,2017,02/11/2018 15:57,,,
11227508,JB146365,01/01/2017 0:01,027XX S WHIPPLE ST,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,1033,10,12,30,2,,,2017,02/11/2018 15:57,,,
11227509,JB146413,01/22/2017 12:01:00 AM,079XX S JEFFERY BLVD,1752,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,APARTMENT,FALSE,FALSE,414,4,8,46,20,,,2017,02/11/2018 15:57,,,
11227512,JB138735,09/05/2017 0:01,020XX N LECLAIRE AVE,1754,OFFENSE INVOLVING CHILDREN,AGG SEX ASSLT OF CHILD FAM MBR,RESIDENCE,FALSE,FALSE,2522,25,31,19,2,,,2017,02/11/2018 15:57,,,
11227513,JB137941,09/01/2017 9:00,030XX W HARRISON ST,1562,SEX OFFENSE,AGG CRIMINAL SEXUAL ABUSE,"SCHOOL, PUBLIC, BUILDING",FALSE,FALSE,1134,11,28,27,17,,,2017,02/11/2018 15:57,,,
11227569,JB147582,10/01/2017 0:00,004XX E 71ST ST,1582,OFFENSE INVOLVING CHILDREN,CHILD PORNOGRAPHY,APARTMENT,FALSE,FALSE,323,3,6,69,17,,,2017,02/11/2018 15:57,,,
11227583,JB147595,03/28/2017 02:00:00 PM,026XX W 79TH ST,620,BURGLARY,UNLAWFUL ENTRY,OTHER,FALSE,FALSE,835,8,18,70,5,,,2017,02/11/2018 15:57,,,
11227586,JB147613,02/10/2017 12:00,089XX S COTTAGE GROVE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,FALSE,FALSE,633,6,8,44,14,,,2017,02/11/2018 15:57,,,
11227633,JB147500,12/28/2017 03:55:00 PM,011XX S MICHIGAN AVE,1153,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,,FALSE,FALSE,123,1,2,32,11,,,2017,02/11/2018 15:57,,,
